ID,Height,Radius,HtRa,diameter,area,volume,para_coeff,surface_area,arc_length
Ames27155,-29.235,-1.6791,-0.2386,-3.3582,-3442.1,-341540,-0.00079,-10105,-54.1257
Ames27156,-21.0024,-9.5146,-0.05749,-19.0292,-3753.78,-462260,0.000278,-13095,-51.2467
Ames27158,43.2785,16.3044,0.09343,32.6088,9023.42,1289443,-0.00051,30216,99.7641
Ames27159,40.7001,11.1583,0.1464,22.3166,7233.49,915016,-0.0001,23696,90.1568
Ames27160,34.6868,9.075,0.1313,18.1501,6059.49,764481,-0.00013,19607,74.9768
Ames27164,-11.619,-7.6865,0.01026,-15.373,-2679.18,-364106,0.000369,-9806.5,-33.2029
Ames27165,-16.6016,-3.7876,-0.1037,-7.5752,-2362.37,-265128,-0.0002,-7704.65,-35.4872
Ames27166,9.3113,-0.5168,0.07289,-1.0336,778.13,28994,0.000185,1824.69,15.7819
Ames27167,-23.9884,-7.4492,-0.1253,-14.8984,-3725.02,-438546,-0.00013,-12579,-53.9636
Ames27168,-10.2627,-5.8765,-0.00702,-11.7531,-2202.99,-301029,0.00024,-7918.6,-27.2495
Ames27169,-25.7547,-7.1733,-0.1203,-14.3466,-3903.73,-429171,-0.00014,-13095,-59.1011
Ames27170,-23.1503,-8.6462,-0.09105,-17.2924,-3828.48,-457041,0.000119,-13094,-53.9975
Ames27172,-24.6899,-4.803,-0.1394,-9.6059,-3478.06,-370899,-0.0003,-11189,-52.6718
Ames27173,-15.7784,-3.5566,-0.08016,-7.1131,-2509.79,-302235,-0.00017,-8338.81,-35.3737
Ames27174,3.0441,-5.2898,0.1145,-10.5795,-770.64,-172710,0.00066,-3715.63,-2.5569
Ames27175,-20.3498,-4.613,-0.1027,-9.2261,-3128.03,-361505,-0.00011,-10059,-43.0821
Ames27176,-7.6956,-3.0599,0.01898,-6.1198,-1667.32,-212109,0.00045,-5319.93,-17.4249
Ames27177,-15.3181,0.9302,-0.1417,1.8605,-1671.89,-156249,-0.00051,-4394.51,-25.7579
Ames27178,-16.301,6.0691,-0.1929,12.1381,-859.17,-3605.77,-0.00081,-531.86,-19.9262
Ames27179,-16.1564,-5.4071,-0.07885,-10.8142,-2685.04,-335449,-0.00009,-9205.37,-37.2932
Ames27180,19.2291,3.9471,0.05706,7.8943,3327.04,366770,-0.00001,10576,43.6528
Ames27183,-1.5051,2.7472,-0.05305,5.4944,175.19,27281,-0.00034,1061.83,0.7737
Ames27184,-1.3305,-1.2766,0.002185,-2.5533,-520.27,-95402,-0.00000346,-2044.9,-4.9903
Ames27185,-11.2318,-0.1964,-0.09487,-0.3928,-1464.5,-169069,-0.00035,-4258.14,-20.3389
Ames27187,-20.1751,0.07469,-0.179,0.1494,-2275.8,-225687,-0.00065,-6464.58,-36.0148
Ames27188,-7.4242,-8.1377,0.06278,-16.2755,-2399.23,-333232,0.00058,-9122.31,-27.0198
Ames27189,5.7577,0.6904,0.04227,1.3809,592.44,42032,0.00011,1809.61,11.5598
Ames27190,-10.0356,-6.6672,0.009052,-13.3345,-2376.17,-329126,0.000303,-8706.33,-28.8148
Ames27191,-12.8936,-6.4127,0.008408,-12.8254,-2706.47,-334962,0.000425,-9437.62,-34.2294
Ames27192,-5.2939,-6.1081,0.04524,-12.2163,-1808.36,-274112,0.000412,-6925.78,-19.1743
Ames27193,-8.9175,10.3402,-0.1927,20.6805,659.21,211734,-0.00097,5072.88,-0.3451
Ames27195,-0.2158,4.6264,-0.05293,9.2528,940.98,157741,-0.00028,4155.15,7.4091
Ames27196,-12.463,-6.6041,-0.01596,-13.2081,-2546,-339050,0.000254,-9050.63,-32.1245
Ames27258,23.9472,-5.3836,0.3454,-10.7673,1147.69,-21124,0.001644,1917.27,36.8251
Ames27259,-1.7494,-5.3601,0.06324,-10.7202,-1265.82,-219763,0.000434,-5137.18,-10.9863
Ames27260,-26.1626,-1.5578,-0.2217,-3.1155,-3148.49,-324651,-0.00074,-8700.63,-44.1255
Ames28184,-32.4736,-2.6005,-0.2504,-5.201,-3980.41,-405435,-0.00077,-11773,-60.5256
Ames28185,14.753,-0.07903,0.1464,-0.1581,1360.49,92969,0.00052,3728.95,26.2879
Ames28186,25.609,17.9304,-0.05916,35.8609,7531.21,1231021,-0.00086,27026,72.3409
Ames28291,18.4726,-2.7783,0.2279,-5.5567,1087.18,2224.41,0.000917,2329.89,30.4415
Ames28364,-4.4213,8.5821,-0.1479,17.1641,850.11,201413,-0.00086,4935.61,4.4578
Ames28365,-0.885,1.658,-0.04147,3.316,109.23,9895.07,-0.0003,500.74,-0.1697
Ames28366,20.3324,-2.1211,0.2298,-4.2421,1556.4,73816,0.000906,3774.47,33.7804
Ames28367,-17.6329,3.0608,-0.1654,6.1216,-1599.49,-120922,-0.00062,-3523.64,-26.7107
Ames28939,6.6795,1.7849,0.01846,3.5698,968.68,80298,-0.00008,3032.51,14.6333
Ames8399,21.9946,7.4636,0.09053,14.9272,3930.11,518250,0.00005,13361,50.7418
CIze21,28.7669,3.207,0.2187,6.4141,3616.34,370360,0.000606,11118,56.7171
CIze28,-7.8789,8.7464,-0.1794,17.4928,417.06,147466,-0.00097,3695.53,-1.3081
