p1	p2	genotype
SAM9	SAM25	SAM9xSAM25
SAM9	SAM26	SAM9xSAM26
SAM9	SAM28	SAM9xSAM28
SAM9	SAM29	SAM9xSAM29
SAM9	SAM30	SAM9xSAM30
SAM9	SAM35	SAM9xSAM35
SAM9	SAM36	SAM9xSAM36
SAM9	SAM37	SAM9xSAM37
SAM9	SAM38	SAM9xSAM38
SAM9	SAM39	SAM9xSAM39
SAM9	SAM40	SAM9xSAM40
SAM9	SAM41	SAM9xSAM41
SAM9	SAM43	SAM9xSAM43
SAM9	SAM45	SAM9xSAM45
SAM9	SAM46	SAM9xSAM46
SAM9	SAM47	SAM9xSAM47
SAM9	SAM49	SAM9xSAM49
SAM9	SAM51	SAM9xSAM51
SAM9	SAM52	SAM9xSAM52
SAM9	SAM53	SAM9xSAM53
SAM9	SAM54	SAM9xSAM54
SAM9	SAM55	SAM9xSAM55
SAM9	SAM56	SAM9xSAM56
SAM9	SAM57	SAM9xSAM57
SAM9	SAM58	SAM9xSAM58
SAM9	SAM59	SAM9xSAM59
SAM10	SAM11	SAM10xSAM11
SAM10	SAM12	SAM10xSAM12
SAM10	SAM14	SAM10xSAM14
SAM10	SAM15	SAM10xSAM15
SAM10	SAM17	SAM10xSAM17
SAM10	SAM18	SAM10xSAM18
SAM10	SAM19	SAM10xSAM19
SAM10	SAM20	SAM10xSAM20
SAM10	SAM21	SAM10xSAM21
SAM10	SAM24	SAM10xSAM24
SAM10	SAM25	SAM10xSAM25
SAM10	SAM26	SAM10xSAM26
SAM10	SAM28	SAM10xSAM28
SAM10	SAM29	SAM10xSAM29
SAM10	SAM30	SAM10xSAM30
SAM10	SAM35	SAM10xSAM35
SAM10	SAM36	SAM10xSAM36
SAM10	SAM37	SAM10xSAM37
SAM10	SAM38	SAM10xSAM38
SAM10	SAM39	SAM10xSAM39
SAM10	SAM40	SAM10xSAM40
SAM10	SAM41	SAM10xSAM41
SAM10	SAM43	SAM10xSAM43
SAM10	SAM45	SAM10xSAM45
SAM10	SAM46	SAM10xSAM46
SAM10	SAM47	SAM10xSAM47
SAM10	SAM49	SAM10xSAM49
SAM10	SAM51	SAM10xSAM51
SAM10	SAM52	SAM10xSAM52
SAM10	SAM53	SAM10xSAM53
SAM10	SAM54	SAM10xSAM54
SAM10	SAM55	SAM10xSAM55
SAM10	SAM56	SAM10xSAM56
SAM10	SAM57	SAM10xSAM57
SAM10	SAM58	SAM10xSAM58
SAM10	SAM59	SAM10xSAM59
SAM11	SAM12	SAM11xSAM12
SAM11	SAM14	SAM11xSAM14
SAM11	SAM15	SAM11xSAM15
SAM11	SAM17	SAM11xSAM17
SAM11	SAM18	SAM11xSAM18
SAM11	SAM19	SAM11xSAM19
SAM11	SAM20	SAM11xSAM20
SAM11	SAM21	SAM11xSAM21
SAM11	SAM24	SAM11xSAM24
SAM11	SAM25	SAM11xSAM25
SAM11	SAM26	SAM11xSAM26
SAM11	SAM28	SAM11xSAM28
SAM11	SAM29	SAM11xSAM29
SAM11	SAM30	SAM11xSAM30
SAM11	SAM35	SAM11xSAM35
SAM11	SAM36	SAM11xSAM36
SAM11	SAM37	SAM11xSAM37
SAM11	SAM38	SAM11xSAM38
SAM11	SAM39	SAM11xSAM39
