Genotype,gHat,log2vol,Fix,P1,P2
SAM337xSAM362,19.890770003,-9,1,SAM337,SAM362
SAM377xSAM379,19.8909503518,-9,1,SAM377,SAM379
SAM334xSAM366,19.8917316271,-9,1,SAM334,SAM366
SAM339xSAM377,19.8922130166,-9,1,SAM339,SAM377
SAM361xSAM381,19.8945251255,-9,1,SAM361,SAM381
SAM370xSAM375,19.894756086,-9,1,SAM370,SAM375
SAM362xSAM374,19.8949084802,-9,1,SAM362,SAM374
SAM344xSAM362,19.8961929081,-9,1,SAM344,SAM362
SAM350xSAM382,19.8967213107,-9,1,SAM350,SAM382
SAM360xSAM378,19.8967746718,-9,1,SAM360,SAM378
SAM356xSAM361,19.896944776,-9,1,SAM356,SAM361
SAM363xSAM377,19.8970348535,-9,1,SAM363,SAM377
SAM348xSAM377,19.8971241562,-9,1,SAM348,SAM377
SAM354xSAM378,19.8973134307,-9,1,SAM354,SAM378
SAM333xSAM382,19.8974121286,-9,1,SAM333,SAM382
SAM332xSAM362,19.8976121767,-9,1,SAM332,SAM362
SAM360xSAM367,19.8977193011,-9,1,SAM360,SAM367
SAM378xSAM379,19.8981804026,-9,1,SAM378,SAM379
SAM354xSAM367,19.898256868,-9,1,SAM354,SAM367
SAM341xSAM366,19.8987863956,-9,1,SAM341,SAM366
SAM337xSAM377,19.8990414364,-9,1,SAM337,SAM377
SAM367xSAM379,19.8991244806,-9,1,SAM367,SAM379
SAM339xSAM378,19.8994437752,-9,1,SAM339,SAM378
SAM355xSAM362,19.9001098646,-9,1,SAM355,SAM362
SAM339xSAM367,19.9003875328,-9,1,SAM339,SAM367
SAM349xSAM362,19.9004885404,-9,1,SAM349,SAM362
SAM353xSAM365,19.9007313324,-9,1,SAM353,SAM365
SAM329xSAM366,19.9011017231,-9,1,SAM329,SAM366
SAM352xSAM360,19.9013540147,-9,1,SAM352,SAM360
SAM353xSAM373,19.9018022193,-9,1,SAM353,SAM373
SAM365xSAM373,19.9018502606,-9,1,SAM365,SAM373
SAM352xSAM354,19.9018924905,-9,1,SAM352,SAM354
SAM353xSAM369,19.9019347726,-9,1,SAM353,SAM369
SAM365xSAM369,19.9019833652,-9,1,SAM365,SAM369
SAM347xSAM366,19.902590826,-9,1,SAM347,SAM366
SAM352xSAM379,19.9027587919,-9,1,SAM352,SAM379
SAM351xSAM362,19.9028934239,-9,1,SAM351,SAM362
SAM369xSAM373,19.9030535592,-9,1,SAM369,SAM373
SAM374xSAM377,19.9031795634,-9,1,SAM374,SAM377
SAM334xSAM382,19.9038816018,-9,1,SAM334,SAM382
SAM339xSAM352,19.9040227382,-9,1,SAM339,SAM352
SAM363xSAM378,19.9042665137,-9,1,SAM363,SAM378
SAM348xSAM378,19.9043532385,-9,1,SAM348,SAM378
SAM344xSAM377,19.9044649897,-9,1,SAM344,SAM377
SAM353xSAM358,19.9045134483,-9,1,SAM353,SAM358
SAM358xSAM365,19.9045617951,-9,1,SAM358,SAM365
SAM363xSAM367,19.9052093176,-9,1,SAM363,SAM367
SAM348xSAM367,19.9052975623,-9,1,SAM348,SAM367
SAM358xSAM373,19.9056332259,-9,1,SAM358,SAM373
SAM358xSAM369,19.9057651235,-9,1,SAM358,SAM369
SAM332xSAM377,19.9058846457,-9,1,SAM332,SAM377
SAM337xSAM378,19.9062717034,-9,1,SAM337,SAM378
SAM331xSAM366,19.9069500117,-9,1,SAM331,SAM366
SAM337xSAM367,19.9072162731,-9,1,SAM337,SAM367
SAM360xSAM381,19.9077310411,-9,1,SAM360,SAM381
SAM354xSAM381,19.9082688464,-9,1,SAM354,SAM381
SAM355xSAM377,19.9083809702,-9,1,SAM355,SAM377
SAM349xSAM377,19.9087599663,-9,1,SAM349,SAM377
SAM352xSAM363,19.90884497,-9,1,SAM352,SAM363
SAM348xSAM352,19.9089327974,-9,1,SAM348,SAM352
SAM379xSAM381,19.9091362728,-9,1,SAM379,SAM381
SAM356xSAM360,19.9101490451,-9,1,SAM356,SAM360
SAM339xSAM381,19.9103996156,-9,1,SAM339,SAM381
SAM374xSAM378,19.9104094429,-9,1,SAM374,SAM378
SAM354xSAM356,19.9106870664,-9,1,SAM354,SAM356
SAM337xSAM352,19.9108518733,-9,1,SAM337,SAM352
SAM341xSAM382,19.9109370856,-9,1,SAM341,SAM382
SAM351xSAM377,19.9111645518,-9,1,SAM351,SAM377
SAM367xSAM374,19.9113539009,-9,1,SAM367,SAM374
SAM357xSAM362,19.911419682,-9,1,SAM357,SAM362
SAM356xSAM379,19.911555223,-9,1,SAM356,SAM379
SAM344xSAM378,19.9116954131,-9,1,SAM344,SAM378
SAM344xSAM367,19.9126397146,-9,1,SAM344,SAM367
SAM339xSAM356,19.9128171576,-9,1,SAM339,SAM356
SAM332xSAM378,19.9131143687,-9,1,SAM332,SAM378
SAM329xSAM382,19.9132507963,-9,1,SAM329,SAM382
SAM353xSAM372,19.9133576563,-9,1,SAM353,SAM372
SAM365xSAM372,19.9134063495,-9,1,SAM365,SAM372
SAM332xSAM367,19.9140586255,-9,1,SAM332,SAM367
SAM372xSAM373,19.9144770799,-9,1,SAM372,SAM373
SAM369xSAM372,19.9146098381,-9,1,SAM369,SAM372
SAM347xSAM382,19.9147407746,-9,1,SAM347,SAM382
SAM352xSAM374,19.9149892477,-9,1,SAM352,SAM374
SAM363xSAM381,19.9152215569,-9,1,SAM363,SAM381
SAM348xSAM381,19.9153098872,-9,1,SAM348,SAM381
SAM343xSAM362,19.9155677518,-9,1,SAM343,SAM362
SAM355xSAM378,19.9156115538,-9,1,SAM355,SAM378
SAM335xSAM366,19.9158551132,-9,1,SAM335,SAM366
SAM349xSAM378,19.9159902034,-9,1,SAM349,SAM378
SAM344xSAM352,19.9162747597,-9,1,SAM344,SAM352
SAM355xSAM367,19.9165559447,-9,1,SAM355,SAM367
SAM349xSAM367,19.9169338567,-9,1,SAM349,SAM367
SAM358xSAM372,19.917188376,-9,1,SAM358,SAM372
SAM337xSAM381,19.9172283782,-9,1,SAM337,SAM381
SAM362xSAM364,19.9175540878,-9,1,SAM362,SAM364
SAM356xSAM363,19.9176397694,-9,1,SAM356,SAM363
SAM332xSAM352,19.9176943971,-9,1,SAM332,SAM352
SAM348xSAM356,19.9177280551,-9,1,SAM348,SAM356
SAM351xSAM378,19.9183949528,-9,1,SAM351,SAM378
SAM331xSAM382,19.9190994946,-9,1,SAM331,SAM382
SAM351xSAM367,19.9193393102,-9,1,SAM351,SAM367
SAM337xSAM356,19.9196465945,-9,1,SAM337,SAM356
SAM357xSAM377,19.9196922293,-9,1,SAM357,SAM377
SAM352xSAM355,19.9201909376,-9,1,SAM352,SAM355
SAM336xSAM362,19.9204896985,-9,1,SAM336,SAM362
SAM349xSAM352,19.9205698667,-9,1,SAM349,SAM352
SAM374xSAM381,19.921365667,-9,1,SAM374,SAM381
SAM353xSAM361,19.9217893852,-9,1,SAM353,SAM361
SAM361xSAM365,19.9218375383,-9,1,SAM361,SAM365
SAM330xSAM366,19.9220198279,-9,1,SAM330,SAM366
SAM344xSAM381,19.9226514993,-9,1,SAM344,SAM381
SAM361xSAM373,19.9229080117,-9,1,SAM361,SAM373
SAM351xSAM352,19.9229745528,-9,1,SAM351,SAM352
SAM361xSAM369,19.923040971,-9,1,SAM361,SAM369
SAM356xSAM374,19.9237843862,-9,1,SAM356,SAM374
SAM343xSAM377,19.9238398297,-9,1,SAM343,SAM377
SAM332xSAM381,19.9240702091,-9,1,SAM332,SAM381
SAM344xSAM356,19.9250698758,-9,1,SAM344,SAM356
SAM358xSAM361,19.925619792,-9,1,SAM358,SAM361
SAM364xSAM377,19.9258257074,-9,1,SAM364,SAM377
SAM332xSAM356,19.9264884887,-9,1,SAM332,SAM356
SAM355xSAM381,19.9265677182,-9,1,SAM355,SAM381
SAM357xSAM378,19.9269215463,-9,1,SAM357,SAM378
SAM349xSAM381,19.9269464089,-9,1,SAM349,SAM381
SAM357xSAM367,19.9278662464,-9,1,SAM357,SAM367
SAM335xSAM382,19.9280052407,-9,1,SAM335,SAM382
SAM336xSAM377,19.9287612809,-9,1,SAM336,SAM377
SAM355xSAM356,19.9289851336,-9,1,SAM355,SAM356
SAM351xSAM381,19.9293510316,-9,1,SAM351,SAM381
SAM349xSAM356,19.929364804,-9,1,SAM349,SAM356
SAM350xSAM362,19.9295296481,-9,1,SAM350,SAM362
SAM333xSAM362,19.9302202722,-9,1,SAM333,SAM362
SAM343xSAM378,19.9310696235,-9,1,SAM343,SAM378
SAM352xSAM357,19.9315019621,-9,1,SAM352,SAM357
SAM351xSAM356,19.9317689685,-9,1,SAM351,SAM356
SAM343xSAM367,19.9320135785,-9,1,SAM343,SAM367
SAM364xSAM378,19.9330552554,-9,1,SAM364,SAM378
SAM364xSAM367,19.93399984,-9,1,SAM364,SAM367
SAM330xSAM382,19.9341700373,-9,1,SAM330,SAM382
SAM361xSAM372,19.9344638026,-9,1,SAM361,SAM372
SAM353xSAM360,19.9349945223,-9,1,SAM353,SAM360
SAM360xSAM365,19.9350421539,-9,1,SAM360,SAM365
SAM353xSAM354,19.935532145,-9,1,SAM353,SAM354
SAM354xSAM365,19.9355811773,-9,1,SAM354,SAM365
SAM343xSAM352,19.9356490223,-9,1,SAM343,SAM352
SAM336xSAM378,19.9359910188,-9,1,SAM336,SAM378
SAM360xSAM373,19.9361131897,-9,1,SAM360,SAM373
SAM360xSAM369,19.936246123,-9,1,SAM360,SAM369
SAM353xSAM379,19.9363995863,-9,1,SAM353,SAM379
SAM365xSAM379,19.9364481008,-9,1,SAM365,SAM379
SAM354xSAM373,19.9366512595,-9,1,SAM354,SAM373
SAM334xSAM362,19.9366894251,-9,1,SAM334,SAM362
SAM354xSAM369,19.9367840735,-9,1,SAM354,SAM369
SAM336xSAM367,19.9369361697,-9,1,SAM336,SAM367
SAM373xSAM379,19.9375182836,-9,1,SAM373,SAM379
SAM352xSAM364,19.9376349783,-9,1,SAM352,SAM364
SAM369xSAM379,19.9376514329,-9,1,SAM369,SAM379
SAM339xSAM353,19.9376621505,-9,1,SAM339,SAM353
SAM339xSAM365,19.9377112834,-9,1,SAM339,SAM365
SAM350xSAM377,19.9378012864,-9,1,SAM350,SAM377
SAM357xSAM381,19.9378779045,-9,1,SAM357,SAM381
SAM333xSAM377,19.9384921191,-9,1,SAM333,SAM377
SAM339xSAM373,19.9387816599,-9,1,SAM339,SAM373
SAM358xSAM360,19.938824646,-9,1,SAM358,SAM360
SAM339xSAM369,19.9389144702,-9,1,SAM339,SAM369
SAM354xSAM358,19.9393625556,-9,1,SAM354,SAM358
SAM358xSAM379,19.940230131,-9,1,SAM358,SAM379
SAM356xSAM357,19.9402957333,-9,1,SAM356,SAM357
SAM336xSAM352,19.9405700749,-9,1,SAM336,SAM352
SAM366xSAM370,19.9409381857,-9,1,SAM366,SAM370
SAM339xSAM358,19.9414932093,-9,1,SAM339,SAM358
SAM343xSAM381,19.9420254676,-9,1,SAM343,SAM381
SAM353xSAM363,19.9424848778,-9,1,SAM353,SAM363
SAM363xSAM365,19.9425332135,-9,1,SAM363,SAM365
