Genotype,gHat,log2vol,Fix,P1,P2
SAM52xSAM55,19.867653906,-9,1,SAM52,SAM55
SAM14xSAM54,19.867780007,-9,1,SAM14,SAM54
SAM7xSAM35,19.86871928,-9,1,SAM7,SAM35
SAM15xSAM57,19.86897292,-9,1,SAM15,SAM57
SAM40xSAM52,19.869016267,-9,1,SAM40,SAM52
SAM52xSAM59,19.869581513,-9,1,SAM52,SAM59
SAM35xSAM56,19.87026421,-9,1,SAM35,SAM56
SAM53xSAM54,19.870487518,-9,1,SAM53,SAM54
SAM36xSAM54,19.870577194,-9,1,SAM36,SAM54
SAM25xSAM57,19.871229715,-9,1,SAM25,SAM57
SAM45xSAM54,19.872056611,-9,1,SAM45,SAM54
SAM30xSAM54,19.872106686,-9,1,SAM30,SAM54
SAM24xSAM58,19.873073324,-9,1,SAM24,SAM58
SAM20xSAM41,19.87330015,-9,1,SAM20,SAM41
SAM39xSAM51,19.87336497,-9,1,SAM39,SAM51
SAM18xSAM21,19.874535106,-9,1,SAM18,SAM21
SAM5xSAM47,19.87460307,-9,1,SAM5,SAM47
SAM38xSAM52,19.8759851677,-9,1,SAM38,SAM52
SAM19xSAM58,19.876166947,-9,1,SAM19,SAM58
SAM14xSAM46,19.8767773656,-9,1,SAM14,SAM46
SAM24xSAM55,19.8774846492,-9,1,SAM24,SAM55
SAM18xSAM28,19.8779792113,-9,1,SAM18,SAM28
SAM24xSAM40,19.8788470326,-9,1,SAM24,SAM40
SAM37xSAM58,19.8791737853,-9,1,SAM37,SAM58
SAM24xSAM59,19.8794108926,-9,1,SAM24,SAM59
SAM46xSAM53,19.8794853537,-9,1,SAM46,SAM53
SAM36xSAM46,19.8795754014,-9,1,SAM36,SAM46
SAM20xSAM39,19.8796740769,-9,1,SAM20,SAM39
SAM35xSAM54,19.8800393192,-9,1,SAM35,SAM54
SAM19xSAM55,19.8805781303,-9,1,SAM19,SAM55
SAM45xSAM46,19.8810536711,-9,1,SAM45,SAM46
SAM30xSAM46,19.8811054526,-9,1,SAM30,SAM46
SAM19xSAM40,19.8819414003,-9,1,SAM19,SAM40
SAM19xSAM59,19.8825065939,-9,1,SAM19,SAM59
SAM41xSAM49,19.8826225771,-9,1,SAM41,SAM49
SAM37xSAM55,19.8835848121,-9,1,SAM37,SAM55
SAM43xSAM57,19.8838783575,-9,1,SAM43,SAM57
SAM8xSAM58,19.8843176363,-9,1,SAM8,SAM58
SAM37xSAM40,19.8849487377,-9,1,SAM37,SAM40
SAM37xSAM59,19.8855123742,-9,1,SAM37,SAM59
SAM24xSAM38,19.8858159034,-9,1,SAM24,SAM38
SAM14xSAM21,19.8871354981,-9,1,SAM14,SAM21
SAM8xSAM55,19.8887284694,-9,1,SAM8,SAM55
SAM19xSAM38,19.8889105467,-9,1,SAM19,SAM38
SAM39xSAM49,19.8889947904,-9,1,SAM39,SAM49
SAM35xSAM46,19.8890393077,-9,1,SAM35,SAM46
SAM21xSAM53,19.8898409678,-9,1,SAM21,SAM53
SAM21xSAM36,19.8899315445,-9,1,SAM21,SAM36
SAM8xSAM40,19.890092708,-9,1,SAM8,SAM40
SAM14xSAM28,19.8905786125,-9,1,SAM14,SAM28
SAM8xSAM59,19.890657462,-9,1,SAM8,SAM59
SAM7xSAM41,19.8911921678,-9,1,SAM7,SAM41
SAM21xSAM45,19.8914111404,-9,1,SAM21,SAM45
SAM21xSAM30,19.8914610444,-9,1,SAM21,SAM30
SAM37xSAM38,19.8919170572,-9,1,SAM37,SAM38
SAM41xSAM56,19.8927365763,-9,1,SAM41,SAM56
SAM28xSAM53,19.893285483,-9,1,SAM28,SAM53
SAM28xSAM36,19.8933744876,-9,1,SAM28,SAM36
SAM51xSAM52,19.8939619733,-9,1,SAM51,SAM52
SAM10xSAM58,19.8948071225,-9,1,SAM10,SAM58
SAM28xSAM45,19.8948544188,-9,1,SAM28,SAM45
SAM28xSAM30,19.8949041663,-9,1,SAM28,SAM30
SAM17xSAM58,19.8961505963,-9,1,SAM17,SAM58
SAM8xSAM38,19.8970598502,-9,1,SAM8,SAM38
SAM7xSAM39,19.8975644855,-9,1,SAM7,SAM39
SAM39xSAM56,19.8991099296,-9,1,SAM39,SAM56
SAM10xSAM55,19.8992177395,-9,1,SAM10,SAM55
SAM21xSAM35,19.8993948845,-9,1,SAM21,SAM35
SAM29xSAM58,19.8998393787,-9,1,SAM29,SAM58
SAM20xSAM52,19.9002717732,-9,1,SAM20,SAM52
SAM17xSAM55,19.9005620254,-9,1,SAM17,SAM55
SAM10xSAM40,19.9005814789,-9,1,SAM10,SAM40
SAM10xSAM59,19.9011454655,-9,1,SAM10,SAM59
SAM17xSAM40,19.9019255189,-9,1,SAM17,SAM40
SAM17xSAM59,19.9024899526,-9,1,SAM17,SAM59
SAM41xSAM54,19.9025128184,-9,1,SAM41,SAM54
SAM26xSAM58,19.902569711,-9,1,SAM26,SAM58
SAM28xSAM35,19.90283823,-9,1,SAM28,SAM35
SAM24xSAM51,19.9037925897,-9,1,SAM24,SAM51
SAM29xSAM55,19.9042498915,-9,1,SAM29,SAM55
SAM29xSAM40,19.9056128187,-9,1,SAM29,SAM40
SAM29xSAM59,19.9061783103,-9,1,SAM29,SAM59
SAM19xSAM51,19.9068873448,-9,1,SAM19,SAM51
SAM26xSAM55,19.9069803877,-9,1,SAM26,SAM55
SAM11xSAM58,19.9070468767,-9,1,SAM11,SAM58
SAM10xSAM38,19.9075503869,-9,1,SAM10,SAM38
SAM9xSAM58,19.9080592318,-9,1,SAM9,SAM58
SAM26xSAM40,19.9083432703,-9,1,SAM26,SAM40
SAM39xSAM54,19.9088850541,-9,1,SAM39,SAM54
SAM17xSAM38,19.9088937042,-9,1,SAM17,SAM38
SAM26xSAM59,19.9089075772,-9,1,SAM26,SAM59
SAM49xSAM52,19.9095920025,-9,1,SAM49,SAM52
SAM37xSAM51,19.9098939596,-9,1,SAM37,SAM51
SAM20xSAM24,19.9101024864,-9,1,SAM20,SAM24
SAM11xSAM55,19.9114574565,-9,1,SAM11,SAM55
SAM41xSAM46,19.9115114434,-9,1,SAM41,SAM46
SAM9xSAM55,19.9124710186,-9,1,SAM9,SAM55
SAM29xSAM38,19.9125818757,-9,1,SAM29,SAM38
SAM11xSAM40,19.9128207265,-9,1,SAM11,SAM40
SAM19xSAM20,19.9131967796,-9,1,SAM19,SAM20
SAM11xSAM59,19.913386151,-9,1,SAM11,SAM59
SAM9xSAM40,19.9138343072,-9,1,SAM9,SAM40
SAM14xSAM18,19.9141939616,-9,1,SAM14,SAM18
SAM9xSAM59,19.9143987371,-9,1,SAM9,SAM59
SAM15xSAM58,19.9144119544,-9,1,SAM15,SAM58
SAM8xSAM51,19.9150374269,-9,1,SAM8,SAM51
SAM26xSAM38,19.9153125731,-9,1,SAM26,SAM38
SAM20xSAM37,19.916203413,-9,1,SAM20,SAM37
SAM25xSAM58,19.9166681169,-9,1,SAM25,SAM58
SAM18xSAM53,19.9168999454,-9,1,SAM18,SAM53
SAM18xSAM36,19.9169892742,-9,1,SAM18,SAM36
SAM39xSAM46,19.9178845136,-9,1,SAM39,SAM46
SAM7xSAM52,19.9181615895,-9,1,SAM7,SAM52
SAM18xSAM45,19.9184689893,-9,1,SAM18,SAM45
SAM18xSAM30,19.918517608,-9,1,SAM18,SAM30
SAM15xSAM55,19.9188223032,-9,1,SAM15,SAM55
SAM24xSAM49,19.9194231106,-9,1,SAM24,SAM49
SAM52xSAM56,19.9197063072,-9,1,SAM52,SAM56
SAM11xSAM38,19.9197895562,-9,1,SAM11,SAM38
SAM15xSAM40,19.920185264,-9,1,SAM15,SAM40
SAM15xSAM59,19.920750696,-9,1,SAM15,SAM59
SAM9xSAM38,19.9208018145,-9,1,SAM9,SAM38
SAM25xSAM55,19.9210790618,-9,1,SAM25,SAM55
SAM8xSAM20,19.9213472491,-9,1,SAM8,SAM20
SAM21xSAM41,19.9218675567,-9,1,SAM21,SAM41
SAM25xSAM40,19.9224421157,-9,1,SAM25,SAM40
SAM19xSAM49,19.9225173591,-9,1,SAM19,SAM49
SAM25xSAM59,19.9230068771,-9,1,SAM25,SAM59
SAM6xSAM57,19.9233441947,-9,1,SAM6,SAM57
SAM28xSAM41,19.9253113231,-9,1,SAM28,SAM41
SAM37xSAM49,19.9255235901,-9,1,SAM37,SAM49
SAM10xSAM51,19.9255265182,-9,1,SAM10,SAM51
SAM18xSAM35,19.9264523013,-9,1,SAM18,SAM35
