Genotype	Radius	Fix
SAM41	7.4636	1
SAM42	8.0387	1
SAM43	7.7345	1
SAM44	7.0598	1
SAM45	8.0657	1
SAM46	10.9153	1
SAM47	6.0941	1
SAM48	8.296	1
SAM49	7.6808	1
SAM5	15.8348	1
SAM50	4.2293	1
SAM51	5.2643	1
SAM52	6.8901	1
SAM53	9.474	1
SAM54	4.6388	1
SAM55	3.9816	1
SAM56	4.6745	1
SAM57	3.207	1
SAM58	6.3055	1
SAM59	3.0897	1
SAM6	17.9304	1
SAM60	2.6176	1
SAM61	4.2867	1
SAM62	9.3182	1
SAM63	3.0936	1
SAM64	3.265	1
SAM65	4.4511	1
SAM66	4.8489	1
SAM67	2.9724	1
SAM68	9.002	1
SAM69	0.1557	1
SAM7	16.3044	1
SAM70	7.2911	1
SAM71	4.8501	1
SAM72	4.7092	1
SAM73	4.4146	1
SAM74	10.3402	1
SAM75	8.9341	1
SAM76	7.9484	1
SAM77	2.2681	1
SAM78	3.6358	1
SAM79	5.1909	1
SAM8	15.9546	1
SAM80	3.8426	1
SAM81	5.0344	1
SAM82	5.0379	1
SAM83	1.8222	1
SAM84	0.4484	1
SAM85	5.5308	1
SAM86	0.3435	1
SAM87	4.6264	1
SAM88	2.75	1
SAM89	8.5821	1
SAM9	12.0795	1
SAM90	1.3058	1
SAM91	-1.163	1
SAM92	1.83	1
SAM93	3.3479	1
SAM94	5.0491	1
SAM95	6.4754	1
SAM96	-0.4989	1
SAM97	-0.8309	1
SAM98	6.4301	1
SAM99	4.1694	1
