p1	p2	genotype
SAM334	SAM341	SAM334xSAM341
SAM334	SAM343	SAM334xSAM343
SAM334	SAM344	SAM334xSAM344
SAM334	SAM347	SAM334xSAM347
SAM334	SAM348	SAM334xSAM348
SAM334	SAM349	SAM334xSAM349
SAM334	SAM350	SAM334xSAM350
SAM334	SAM351	SAM334xSAM351
SAM334	SAM352	SAM334xSAM352
SAM334	SAM353	SAM334xSAM353
SAM334	SAM354	SAM334xSAM354
SAM334	SAM355	SAM334xSAM355
SAM334	SAM356	SAM334xSAM356
SAM334	SAM357	SAM334xSAM357
SAM334	SAM358	SAM334xSAM358
SAM334	SAM360	SAM334xSAM360
SAM334	SAM361	SAM334xSAM361
SAM334	SAM362	SAM334xSAM362
SAM334	SAM363	SAM334xSAM363
SAM334	SAM364	SAM334xSAM364
SAM334	SAM365	SAM334xSAM365
SAM334	SAM366	SAM334xSAM366
SAM334	SAM367	SAM334xSAM367
SAM334	SAM369	SAM334xSAM369
SAM334	SAM370	SAM334xSAM370
SAM334	SAM372	SAM334xSAM372
SAM334	SAM373	SAM334xSAM373
SAM334	SAM374	SAM334xSAM374
SAM334	SAM375	SAM334xSAM375
SAM334	SAM377	SAM334xSAM377
SAM334	SAM378	SAM334xSAM378
SAM334	SAM379	SAM334xSAM379
SAM334	SAM380	SAM334xSAM380
SAM334	SAM381	SAM334xSAM381
SAM334	SAM382	SAM334xSAM382
SAM335	SAM336	SAM335xSAM336
SAM335	SAM337	SAM335xSAM337
SAM335	SAM339	SAM335xSAM339
SAM335	SAM341	SAM335xSAM341
SAM335	SAM343	SAM335xSAM343
SAM335	SAM344	SAM335xSAM344
SAM335	SAM347	SAM335xSAM347
SAM335	SAM348	SAM335xSAM348
SAM335	SAM349	SAM335xSAM349
SAM335	SAM350	SAM335xSAM350
SAM335	SAM351	SAM335xSAM351
SAM335	SAM352	SAM335xSAM352
SAM335	SAM353	SAM335xSAM353
SAM335	SAM354	SAM335xSAM354
SAM335	SAM355	SAM335xSAM355
SAM335	SAM356	SAM335xSAM356
SAM335	SAM357	SAM335xSAM357
SAM335	SAM358	SAM335xSAM358
SAM335	SAM360	SAM335xSAM360
SAM335	SAM361	SAM335xSAM361
SAM335	SAM362	SAM335xSAM362
SAM335	SAM363	SAM335xSAM363
SAM335	SAM364	SAM335xSAM364
SAM335	SAM365	SAM335xSAM365
SAM335	SAM366	SAM335xSAM366
SAM335	SAM367	SAM335xSAM367
SAM335	SAM369	SAM335xSAM369
SAM335	SAM370	SAM335xSAM370
SAM335	SAM372	SAM335xSAM372
SAM335	SAM373	SAM335xSAM373
SAM335	SAM374	SAM335xSAM374
SAM335	SAM375	SAM335xSAM375
SAM335	SAM377	SAM335xSAM377
SAM335	SAM378	SAM335xSAM378
SAM335	SAM379	SAM335xSAM379
SAM335	SAM380	SAM335xSAM380
SAM335	SAM381	SAM335xSAM381
SAM335	SAM382	SAM335xSAM382
SAM336	SAM337	SAM336xSAM337
SAM336	SAM339	SAM336xSAM339
SAM336	SAM341	SAM336xSAM341
SAM336	SAM343	SAM336xSAM343
SAM336	SAM344	SAM336xSAM344
SAM336	SAM347	SAM336xSAM347
SAM336	SAM348	SAM336xSAM348
SAM336	SAM349	SAM336xSAM349
SAM336	SAM350	SAM336xSAM350
SAM336	SAM351	SAM336xSAM351
SAM336	SAM352	SAM336xSAM352
SAM336	SAM353	SAM336xSAM353
SAM336	SAM354	SAM336xSAM354
SAM336	SAM355	SAM336xSAM355
SAM336	SAM356	SAM336xSAM356
SAM336	SAM357	SAM336xSAM357
SAM336	SAM358	SAM336xSAM358
